site,datetime,value
trgw_003_008,2016-04-22,37.77783162966633
trgw_003_008,2016-04-23,37.59843366601228
trgw_003_008,2016-04-24,37.4472287056262
trgw_003_008,2016-04-25,37.69872738719169
trgw_003_008,2016-04-26,37.24198815398297
trgw_003_008,2016-04-27,37.38616337532284
trgw_003_008,2016-04-28,37.57174072188487
trgw_003_008,2016-04-29,37.63849933628628
trgw_003_008,2016-04-30,37.562048369365556
trgw_003_008,2016-05-01,36.95648923846235
trgw_003_008,2016-05-02,37.273157576467085
trgw_003_008,2016-05-03,37.56185361847138
trgw_003_008,2016-05-04,37.39541570139064
trgw_003_008,2016-05-05,37.983460324151835
trgw_003_008,2016-05-06,37.65853166019342
trgw_003_008,2016-05-07,37.586746376123735
trgw_003_008,2016-05-08,37.25157808925065
trgw_003_008,2016-05-09,37.47011365207942
trgw_003_008,2016-05-10,37.524360792843794
trgw_003_008,2016-05-11,37.700310726025556
trgw_003_008,2016-05-12,37.65166321941992
trgw_003_008,2016-05-13,37.682713838903986
trgw_003_008,2016-05-14,37.293337596838
trgw_003_008,2016-05-15,37.76026733965973
trgw_003_008,2016-05-16,37.19953384953855
trgw_003_008,2016-05-17,37.36922308766677
trgw_003_008,2016-05-18,37.56159422698913
trgw_003_008,2016-05-19,37.447167681653376
trgw_003_008,2016-05-20,37.275225628415924
trgw_003_008,2016-05-21,37.31534203487937
trgw_003_008,2016-05-22,37.16859913543019
trgw_003_008,2016-05-23,37.582604927801434
trgw_003_008,2016-05-24,37.72941676900844
trgw_003_008,2016-05-25,37.46522329931973
trgw_003_008,2016-05-26,37.40449023699731
trgw_003_008,2016-05-27,37.187472414306704
trgw_003_008,2016-05-28,37.66281538485044
trgw_003_008,2016-05-29,37.9236068666479
trgw_003_008,2016-05-30,37.12190883912662
trgw_003_008,2016-05-31,37.268518412369076
trgw_003_008,2016-06-01,37.35283939149117
trgw_003_008,2016-06-02,37.37389941806351
trgw_003_008,2016-06-03,37.5315761900287
trgw_003_008,2016-06-04,37.80724390945605
trgw_003_008,2016-06-05,37.68517945737202
trgw_003_008,2016-06-06,37.59034947655486
trgw_003_008,2016-06-07,37.34634925918828
trgw_003_008,2016-06-08,37.265648353263906
trgw_003_008,2016-06-09,37.328746938738746
trgw_003_008,2016-06-10,37.79681136027575
trgw_003_008,2016-06-11,37.47254533970842
trgw_003_008,2016-06-12,37.392782749267475
trgw_003_008,2016-06-13,37.44419485395
trgw_003_008,2016-06-14,37.644240643927695
trgw_003_008,2016-06-15,37.21429806509004
trgw_003_008,2016-06-16,37.758114827184485
trgw_003_008,2016-06-17,37.50462325138926
trgw_003_008,2016-06-18,37.439831204340855
trgw_003_008,2016-06-19,37.573024222749346
trgw_003_008,2016-06-20,37.52683941462598
trgw_003_008,2016-06-21,37.41180470870652
trgw_003_008,2016-06-22,37.42873286559168
trgw_003_008,2016-06-23,37.303417490626806
trgw_003_008,2016-06-24,37.60686815017186
trgw_003_008,2016-06-25,37.368107238117766
trgw_003_008,2016-06-26,37.28153431551354
trgw_003_008,2016-06-27,37.50373470453071
trgw_003_008,2016-06-28,37.73354425654911
trgw_003_008,2016-06-29,37.45691107524404
trgw_003_008,2016-06-30,37.34233474860966
trgw_003_008,2016-07-01,37.54238920416719
trgw_003_008,2016-07-02,37.84802449248051
trgw_003_008,2016-07-03,37.170155894113655
trgw_003_008,2016-07-04,37.53769455755705
trgw_003_008,2016-07-05,37.50031032504637
trgw_003_008,2016-07-06,37.68874276071182
trgw_003_008,2016-07-07,37.65263783473697
trgw_003_008,2016-07-08,37.41595517763805
trgw_003_008,2016-07-09,37.11683954891502
trgw_003_008,2016-07-10,37.61549775357925
trgw_003_008,2016-07-11,37.2846174619617
trgw_003_008,2016-07-12,37.25947191780856
trgw_003_008,2016-07-13,37.67596311613822
trgw_003_008,2016-07-14,37.26142592447227
trgw_003_008,2016-07-15,37.72135894802005
trgw_003_008,2016-07-16,37.50530594428106
trgw_003_008,2016-07-17,37.501403680017255
trgw_003_008,2016-07-18,37.49756795610112
trgw_003_008,2016-07-19,37.10560727485164
trgw_003_008,2016-07-20,37.07925427673068
trgw_003_008,2016-07-21,37.476690610757736
trgw_003_008,2016-07-22,37.55093747184529
trgw_003_008,2016-07-23,37.451417206431245
trgw_003_008,2016-07-24,37.2699580965961
trgw_003_008,2016-07-25,37.44443142077644
trgw_003_008,2016-07-26,37.423378169370906
trgw_003_008,2016-07-27,37.24580838034492
trgw_003_008,2016-07-28,37.637334430822435
trgw_003_008,2016-07-29,37.08802478768998
trgw_003_008,2016-07-30,37.5488184813615
trgw_003_008,2016-07-31,37.505794681042254
trgw_003_008,2016-08-01,37.631786370962345
trgw_003_008,2016-08-02,37.22673262553023
trgw_003_008,2016-08-03,37.44616542933365
trgw_003_008,2016-08-04,37.857358989863634
trgw_003_008,2016-08-05,37.55394485779994
trgw_003_008,2016-08-06,37.43929024174579
trgw_003_008,2016-08-07,37.526686254822835
trgw_003_008,2016-08-08,37.43413236847602
trgw_003_008,2016-08-09,37.852699602647974
trgw_003_008,2016-08-10,37.61186123915784
trgw_003_008,2016-08-11,37.394910009153904
trgw_003_008,2016-08-12,37.4594262862769
trgw_003_008,2016-08-13,37.3278084007838
trgw_003_008,2016-08-14,37.64564502528206
trgw_003_008,2016-08-15,37.118799045721794
trgw_003_008,2016-08-16,37.07712229402781
trgw_003_008,2016-08-17,37.6916069499352
trgw_003_008,2016-08-18,37.82987395851412
trgw_003_008,2016-08-19,37.48911498153792
trgw_003_008,2016-08-20,37.41504158824715
