  STREAM OBSERVATION OUTPUT
    TIME      SFR-NODE  SFR-CONCENTRATION    FLOWGW          GW-CONC
    846.9405          9       0.2745045E-02       -106.6422           0.1576956E-01
    846.9405         10       0.2974041E-02       -103.6098           0.1576962E-01
    846.9405         11       0.3189120E-02       -100.8240           0.1576968E-01
    846.9405         12       0.3391971E-02       -98.36002           0.1576971E-01
    846.9405         13       0.3584525E-02       -96.34942           0.1576968E-01
    846.9405         14       0.3768358E-02       -94.72261           0.1576969E-01
    846.9405         15       0.3944927E-02       -93.48280           0.1576974E-01
    846.9405         16       0.4115604E-02       -92.63317           0.1576975E-01
    846.9405         17       0.4281577E-02       -92.14964           0.1576948E-01
    846.9405         18       0.4443903E-02       -91.99449           0.1576965E-01
    846.9405         19       0.4603439E-02       -92.12421           0.1576984E-01
    846.9405         20       0.4760903E-02       -92.49990           0.1577000E-01
    846.9405         21       0.4916891E-02       -93.08915           0.1577015E-01
    846.9405         22       0.5071986E-02       -93.89489           0.1577030E-01
    846.9405         23       0.5226149E-02       -94.69073           0.1576998E-01
    846.9405         24       0.5378901E-02       -95.29325           0.1576958E-01
    846.9405         25       0.5529562E-02       -95.61926           0.1576940E-01
    846.9405         26       0.5677225E-02       -95.55796           0.1576956E-01
    846.9405         27       0.5820856E-02       -95.04072           0.1576974E-01
    846.9405         28       0.5959432E-02       -94.04626           0.1576992E-01
    846.9405         29       0.6091886E-02       -92.52023           0.1577013E-01
    846.9405         30       0.6217190E-02       -90.43997           0.1577068E-01
    846.9405         31       0.6334207E-02       -87.72271           0.1577081E-01
    846.9405         32       0.6441800E-02       -84.29388           0.1577136E-01
    846.9405         33       0.6538771E-02       -80.06320           0.1577180E-01
    846.9405         34       0.6623816E-02       -74.87081           0.1577262E-01
    846.9405         35       0.6695514E-02       -68.53194           0.1577324E-01
    846.9405         36       0.6752357E-02       -60.80329           0.1577410E-01
    846.9405         37       0.6792775E-02       -51.34241           0.1577618E-01
    846.9405         38       0.6815171E-02       -39.67520           0.1577887E-01
    846.9405         39       0.6820599E-02       -27.08470           0.1578659E-01
    846.9405         40       0.6118145E-02        0.000000           0.1000000E+31
    931.6345          1       0.2405723E-03       -119.3370           0.1582113E-01
    931.6345          2       0.4780364E-03       -119.5864           0.1582099E-01
    931.6345          3       0.7105444E-03       -119.1550           0.1582100E-01
    931.6345          4       0.9370386E-03       -118.2719           0.1582096E-01
    931.6345          5       0.1156257E-02       -116.8312           0.1582099E-01
    931.6345          6       0.1367171E-02       -114.8723           0.1582103E-01
    931.6345          7       0.1568985E-02       -112.4420           0.1582144E-01
    931.6345          8       0.1761243E-02       -109.6604           0.1582101E-01
    931.6345          9       0.1943901E-02       -106.6422           0.1582136E-01
    931.6345         10       0.2117385E-02       -103.6098           0.1582136E-01
    931.6345         11       0.2282669E-02       -100.8240           0.1582135E-01
    931.6345         12       0.2440802E-02       -98.36002           0.1582132E-01
    931.6345         13       0.2593016E-02       -96.34942           0.1582125E-01
    931.6345         14       0.2740306E-02       -94.72261           0.1582123E-01
    931.6345         15       0.2883591E-02       -93.48280           0.1582124E-01
    931.6345         16       0.3023745E-02       -92.63317           0.1582122E-01
    931.6345         17       0.3161544E-02       -92.14964           0.1582111E-01
    931.6345         18       0.3297633E-02       -91.99449           0.1582119E-01
    931.6345         19       0.3432554E-02       -92.12421           0.1582132E-01
    931.6345         20       0.3566765E-02       -92.49990           0.1582146E-01
    931.6345         21       0.3700641E-02       -93.08915           0.1582158E-01
    931.6345         22       0.3834552E-02       -93.89489           0.1582170E-01
    931.6345         23       0.3968456E-02       -94.69073           0.1582146E-01
    931.6345         24       0.4101986E-02       -95.29325           0.1582097E-01
    931.6345         25       0.4234661E-02       -95.61926           0.1582080E-01
    931.6345         26       0.4365832E-02       -95.55796           0.1582096E-01
    931.6345         27       0.4494763E-02       -95.04072           0.1582112E-01
    931.6345         28       0.4620723E-02       -94.04626           0.1582127E-01
    931.6345         29       0.4742945E-02       -92.52023           0.1582140E-01
    931.6345         30       0.4860690E-02       -90.43997           0.1582191E-01
    931.6345         31       0.4973167E-02       -87.72271           0.1582185E-01
